setup,event,feature_budget,block_length,best_mcc,best_balanced_accuracy,best_f1,min_fpr,selected_configuration
B,SPECTRE,8,850,0.9863134479198958,0.9929802955665025,0.9932203389830508,0.013793103448275862,0
B,SPECTRE,8,900,0.9863218048917212,0.993103448275862,0.9931013975617009,0.013793103448275862,0
B,SPECTRE,8,950,0.9849001794597505,0.9923076923076923,0.9924528301886791,0.015384615384615385,0
B,SPECTRE,8,1000,0.9849001794597505,0.9923076923076923,0.9924528301886791,0.015384615384615385,0
B,SPECTRE,10,50,0.6257608057114259,0.7857692307692308,0.7309579525020451,0.009615384615384616,0
B,SPECTRE,10,100,0.6352519851432334,0.7915384615384615,0.7397816936432323,0.01,0
B,SPECTRE,10,150,0.688759939762973,0.8251835985312118,0.7899519129202227,0.009302325581395349,0
B,SPECTRE,10,200,0.6677862924563713,0.813076923076923,0.773609022270049,0.01076923076923077,0
B,SPECTRE,10,250,0.7190614372895376,0.8442307692307691,0.817641902571393,0.009615384615384616,0
B,SPECTRE,10,300,0.7627724018934365,0.8705745554035568,0.8530705629167343,0.011627906976744186,0
B,SPECTRE,10,350,0.8150156025999568,0.9011225266362253,0.8913194133867524,0.010958904109589041,0
B,SPECTRE,10,400,0.7949082068699601,0.8907692307692308,0.8794456501353054,0.009230769230769232,0
B,SPECTRE,10,450,0.8721290898856772,0.9335450695704779,0.9298818177322851,0.010526315789473684,0
B,SPECTRE,10,500,0.8000415353259094,0.8923076923076924,0.8803418946773149,0.011538461538461539,0
B,SPECTRE,10,550,0.9206963346654653,0.9594357076780758,0.9582811453779195,0.00851063829787234,0
B,SPECTRE,10,600,0.9063712349781043,0.9519163763066201,0.9501566184493013,0.009523809523809523,0
B,SPECTRE,10,650,0.9642914669112759,0.9820512820512821,0.9818847818847818,0.010256410256410256,0
B,SPECTRE,10,700,0.962485802173427,0.9807057057057058,0.9808106416275431,0.01096096096096096,0
B,SPECTRE,10,750,0.9711466321786786,0.9851158645276292,0.9851371635610766,0.011942959001782532,0
B,SPECTRE,10,800,0.9743951612903226,0.9871975806451612,0.9870967741935484,0.012701612903225806,0
B,SPECTRE,10,850,0.9861985395798989,0.9929802955665025,0.9931013975617009,0.013793103448275862,0
B,SPECTRE,10,900,0.9863218048917212,0.993103448275862,0.9932203389830508,0.013793103448275862,0
B,SPECTRE,10,950,0.9849001794597505,0.9923076923076923,0.9924528301886791,0.015384615384615385,0
B,SPECTRE,10,1000,0.9849001794597505,0.9923076923076923,0.9924528301886791,0.015384615384615385,0
B,SPECTRE,15,50,0.6754493797530245,0.8169230769230769,0.7786492971428057,0.009615384615384616,0
B,SPECTRE,15,100,0.6876652803220603,0.8242307692307692,0.7890369244902233,0.009230769230769232,0
B,SPECTRE,15,150,0.6896561634794038,0.8257683938528493,0.7909762110562,0.009309125526995785,0
B,SPECTRE,15,200,0.709989309054478,0.8384615384615385,0.8093244994945523,0.009230769230769232,0
B,SPECTRE,15,250,0.7001232359906095,0.8336538461538462,0.803662814552944,0.009615384615384616,0
B,SPECTRE,15,300,0.7492034278349248,0.8624487004103967,0.8425487117030741,0.009302325581395349,0
B,SPECTRE,15,350,0.8058448222616063,0.8956430745814308,0.8840664506442322,0.010958904109589041,0
B,SPECTRE,15,400,0.7772641459419976,0.8800000000000001,0.8654922538730634,0.009230769230769232,0
B,SPECTRE,15,450,0.8531228225082333,0.9231094978826377,0.9179522997477212,0.010526315789473684,0
