setup,src,dst,rho,abs_rho,edge_stability,dependence_score,graph_method
A,Core1 (Socket 0).14_C6res%,Core1 (Socket 0).2_FREQ,-0.12418391736346526,0.12418391736346526,0.5,0.06209195868173263,stable_rank_precision
A,Core1 (Socket 0).14_C6res%,Core2 (Socket 0).14_C6res%,-0.28431693254031853,0.28431693254031853,1.0,0.28431693254031853,stable_rank_precision
A,Core1 (Socket 0).14_C6res%,Core3 (Socket 0).14_C6res%,-0.2867042325375512,0.2867042325375512,1.0,0.2867042325375512,stable_rank_precision
A,Core1 (Socket 0).14_C6res%,SKT0 Core C-State.3_C6res%,0.21586589763186656,0.21586589763186656,1.0,0.21586589763186656,stable_rank_precision
A,Core1 (Socket 0).14_C6res%,System Core C-States.3_C6res%,0.21586589763186623,0.21586589763186623,1.0,0.21586589763186623,stable_rank_precision
A,Core1 (Socket 0).15_C7res%,Core2 (Socket 0).15_C7res%,-0.2195254179366229,0.2195254179366229,1.0,0.2195254179366229,stable_rank_precision
A,Core1 (Socket 0).15_C7res%,Core3 (Socket 0).15_C7res%,-0.17733114694269161,0.17733114694269161,1.0,0.17733114694269161,stable_rank_precision
A,Core1 (Socket 0).15_C7res%,SKT0 Core C-State.4_C7res%,0.2040591306924136,0.2040591306924136,1.0,0.2040591306924136,stable_rank_precision
A,Core1 (Socket 0).15_C7res%,System Core C-States.4_C7res%,0.2040591306924128,0.2040591306924128,1.0,0.2040591306924128,stable_rank_precision
A,Core1 (Socket 0).16_TEMP,Core2 (Socket 0).16_TEMP,0.13898545737560467,0.13898545737560467,1.0,0.13898545737560467,stable_rank_precision
A,Core1 (Socket 0).16_TEMP,Core3 (Socket 0).16_TEMP,0.24049107654685303,0.24049107654685303,1.0,0.24049107654685303,stable_rank_precision
A,Core1 (Socket 0).17_INST,Core1 (Socket 0).18_ACYC,0.3069661071285455,0.3069661071285455,1.0,0.3069661071285455,stable_rank_precision
A,Core1 (Socket 0).17_INST,Core1 (Socket 0).22_INSTnom,0.12627616579591752,0.12627616579591752,1.0,0.12627616579591752,stable_rank_precision
A,Core1 (Socket 0).17_INST,Core1 (Socket 0).23_INSTnom%,0.14291862154306056,0.14291862154306056,1.0,0.14291862154306056,stable_rank_precision
A,Core1 (Socket 0).17_INST,Core1 (Socket 0).5_L3MISS,0.2609704856796207,0.2609704856796207,1.0,0.2609704856796207,stable_rank_precision
A,Core1 (Socket 0).17_INST,Core1 (Socket 0)_EXEC,0.12627616579591794,0.12627616579591794,1.0,0.12627616579591794,stable_rank_precision
A,Core1 (Socket 0).17_INST,System.15_INST,0.18950281461319582,0.18950281461319582,1.0,0.18950281461319582,stable_rank_precision
A,Core1 (Socket 0).18_ACYC,Core1 (Socket 0).2_FREQ,0.25681942919280254,0.25681942919280254,1.0,0.25681942919280254,stable_rank_precision
A,Core1 (Socket 0).18_ACYC,System.16_ACYC,0.2440724508030979,0.2440724508030979,1.0,0.2440724508030979,stable_rank_precision
A,Core1 (Socket 0).19_TIME(ticks),Core2 (Socket 0).19_TIME(ticks),0.22189374416408475,0.22189374416408475,1.0,0.22189374416408475,stable_rank_precision
A,Core1 (Socket 0).19_TIME(ticks),Core3 (Socket 0).19_TIME(ticks),0.22189374416408325,0.22189374416408325,1.0,0.22189374416408325,stable_rank_precision
A,Core1 (Socket 0).19_TIME(ticks),System.17_TIME(ticks),0.22189374416408505,0.22189374416408505,1.0,0.22189374416408505,stable_rank_precision
A,Core1 (Socket 0).1_IPC,Core1 (Socket 0).20_PhysIPC,0.34937660157475486,0.34937660157475486,1.0,0.34937660157475486,stable_rank_precision
A,Core1 (Socket 0).1_IPC,Core1 (Socket 0).21_PhysIPC%,0.32741671520518917,0.32741671520518917,1.0,0.32741671520518917,stable_rank_precision
A,Core1 (Socket 0).20_PhysIPC,Core1 (Socket 0).21_PhysIPC%,0.3274167152051897,0.3274167152051897,1.0,0.3274167152051897,stable_rank_precision
A,Core1 (Socket 0).22_INSTnom,Core1 (Socket 0).23_INSTnom%,0.2773702826205823,0.2773702826205823,1.0,0.2773702826205823,stable_rank_precision
A,Core1 (Socket 0).22_INSTnom,Core1 (Socket 0)_EXEC,0.2959611175320563,0.2959611175320563,1.0,0.2959611175320563,stable_rank_precision
A,Core1 (Socket 0).23_INSTnom%,Core1 (Socket 0)_EXEC,0.2773702826205787,0.2773702826205787,1.0,0.2773702826205787,stable_rank_precision
A,Core1 (Socket 0).3_AFREQ,Core1 (Socket 0).4_CFREQ,0.27977412558901926,0.27977412558901926,1.0,0.27977412558901926,stable_rank_precision
A,Core1 (Socket 0).5_L3MISS,Core1 (Socket 0).6_L2MISS,0.12433143582173696,0.12433143582173696,0.875,0.10879000634401984,stable_rank_precision
A,Core1 (Socket 0).5_L3MISS,Core2 (Socket 0).5_L3MISS,0.16636022718303084,0.16636022718303084,1.0,0.16636022718303084,stable_rank_precision
A,Core1 (Socket 0).5_L3MISS,Core3 (Socket 0).5_L3MISS,0.14723202932980947,0.14723202932980947,1.0,0.14723202932980947,stable_rank_precision
A,Core1 (Socket 0).6_L2MISS,Core1 (Socket 0).7_L3HIT,0.1783055785806623,0.1783055785806623,1.0,0.1783055785806623,stable_rank_precision
A,Core1 (Socket 0).6_L2MISS,Core1 (Socket 0).8_L2HIT,0.19480762853302927,0.19480762853302927,1.0,0.19480762853302927,stable_rank_precision
A,Core1 (Socket 0).6_L2MISS,Core1 (Socket 0).9_L3MPI,0.15626781415101634,0.15626781415101634,1.0,0.15626781415101634,stable_rank_precision
A,Core1 (Socket 0).7_L3HIT,Core1 (Socket 0).9_L3MPI,-0.32006146294279847,0.32006146294279847,1.0,0.32006146294279847,stable_rank_precision
