setup,feature,domain,graph_centrality,edge_stability,conditional_dependence,cias_alignment,telemetry_cost,hardware_cost_penalty,droop_anchor_score,importance_score,graph_method
A,System.21_INSTnom%,CORE,0.3195153793592289,0.3333333333333333,0.3195153793592289,0.21941299972348105,1.0,0.8333333333333334,0.0,0.3685735523409409,stable_rank_precision
A,System.22_Proc Energy (Joules),SENSOR,0.47310677637471543,0.1111111111111111,0.47310677637471543,0.40244883817792765,1.2,1.0,0.45,0.37357892192198816,stable_rank_precision
A,System.2_EXEC,CORE,0.32520040209775236,0.3333333333333333,0.32520040209775236,0.21928219405867397,1.0,0.8333333333333334,0.0,0.37234579844204524,stable_rank_precision
A,System.3_IPC,CORE,0.3476682644256395,0.3333333333333333,0.3476682644256395,0.18884448139057755,1.0,0.8333333333333334,0.0,0.3799737250607524,stable_rank_precision
A,System.4_FREQ,CORE,0.23288027555735363,0.1111111111111111,0.23288027555735363,0.48664487221555686,1.0,0.8333333333333334,0.35,0.3080365015176472,stable_rank_precision
A,System.6_CFREQ,CORE,0.4998342058990647,0.1111111111111111,0.4998342058990647,0.03597823280589841,1.0,0.8333333333333334,0.35,0.3770081741624237,stable_rank_precision
A,System.7_L3MISS,MEMORY,0.4241585938727571,0.1111111111111111,0.4241585938727571,1.0,1.08,0.9000000000000001,0.0,0.5193886890875279,stable_rank_precision
A,System.8_L2MISS,MEMORY,0.3146395181116294,0.1111111111111111,0.3146395181116294,0.8082032674137187,1.08,0.9000000000000001,0.0,0.4083218259194292,stable_rank_precision
A,System.9_L3HIT,MEMORY,0.5287970483877887,0.3333333333333333,0.5287970483877887,0.20424337467251094,1.08,0.9000000000000001,0.0,0.4675195288891501,stable_rank_precision
A,TEMP_CORE_0,SENSOR,0.22126186794042238,0.1111111111111111,0.22126186794042238,0.09791546825256074,1.2,1.0,0.25,0.17139596648374905,stable_rank_precision
B,CPU Voltage,SENSOR,0.0,0.0,0.0,0.34393493688652094,1.2,1.0,1.0,0.0634085530410666,stable_rank_precision
B,Core0 (Socket 0).10_L2MPI,MEMORY,0.38015852323849847,0.42857142857142855,0.38015852323849847,0.19583809252354642,1.08,0.9000000000000001,0.0,0.36401024947388333,stable_rank_precision
B,Core0 (Socket 0).11_C0res%,CORE,0.7668400221130183,0.2857142857142857,0.7668400221130183,0.4471775031541283,1.0,0.8333333333333334,0.35,0.6444848662174868,stable_rank_precision
B,Core0 (Socket 0).12_C1res%,CORE,0.736900786492451,0.2857142857142857,0.736900786492451,0.5289883061896349,1.0,0.8333333333333334,0.35,0.6443693608240757,stable_rank_precision
B,Core0 (Socket 0).14_C6res%,CORE,0.7999541583171504,0.14285714285714285,0.7999541583171504,0.4649136695382222,1.0,0.8333333333333334,0.35,0.6290490302198547,stable_rank_precision
B,Core0 (Socket 0).15_C7res%,CORE,0.8146100798781927,0.14285714285714285,0.8146100798781927,0.43364133040551656,1.0,0.8333333333333334,0.35,0.6310470972077321,stable_rank_precision
B,Core0 (Socket 0).16_TEMP,SENSOR,0.7483490657428248,0.2857142857142857,0.7483490657428248,0.37788832239479675,1.2,1.0,0.25,0.5149215911759695,stable_rank_precision
B,Core0 (Socket 0).17_INST,CORE,0.7000686023642965,0.7142857142857143,0.7000686023642965,0.6173170753097306,1.0,0.8333333333333334,0.0,0.7600206865600718,stable_rank_precision
B,Core0 (Socket 0).18_ACYC,CORE,0.8876419798192438,1.0,0.8876419798192438,0.8290758311931115,1.0,0.8333333333333334,0.0,1.0,stable_rank_precision
B,Core0 (Socket 0).19_TIME(ticks),CORE,0.8042778650409621,0.5714285714285714,0.8042778650409621,0.9094421650954724,1.0,0.8333333333333334,0.0,0.848543043559053,stable_rank_precision
B,Core0 (Socket 0).1_IPC,CORE,0.6206871770311329,0.2857142857142857,0.6206871770311329,0.20834153834342148,1.0,0.8333333333333334,0.0,0.5027274879470172,stable_rank_precision
B,Core0 (Socket 0).20_PhysIPC,CORE,0.6275504376193344,0.2857142857142857,0.6275504376193344,0.2088605288232349,1.0,0.8333333333333334,0.0,0.5070178785419241,stable_rank_precision
B,Core0 (Socket 0).21_PhysIPC%,CORE,0.6258320816090612,0.2857142857142857,0.6258320816090612,0.20902966187765584,1.0,0.8333333333333334,0.0,0.5060098577529791,stable_rank_precision
B,Core0 (Socket 0).22_INSTnom,CORE,0.5646392725207046,0.2857142857142857,0.5646392725207046,0.21872055899325676,1.0,0.8333333333333334,0.0,0.47092443177273513,stable_rank_precision
B,Core0 (Socket 0).23_INSTnom%,CORE,0.5739952434932727,0.2857142857142857,0.5739952434932727,0.21740341013447592,1.0,0.8333333333333334,0.0,0.4763251570738018,stable_rank_precision
B,Core0 (Socket 0).2_FREQ,CORE,0.5575624417311215,0.42857142857142855,0.5575624417311215,0.35556834862847564,1.0,0.8333333333333334,0.35,0.5364005284893265,stable_rank_precision
B,Core0 (Socket 0).3_AFREQ,CORE,0.8153658810582398,0.2857142857142857,0.8153658810582398,0.6372074946195093,1.0,0.8333333333333334,0.35,0.7160489307097309,stable_rank_precision
B,Core0 (Socket 0).4_CFREQ,CORE,0.6173267680447189,0.2857142857142857,0.6173267680447189,0.6448290363233287,1.0,0.8333333333333334,0.35,0.5972491131107653,stable_rank_precision
B,Core0 (Socket 0).5_L3MISS,MEMORY,0.8758945692189026,0.8571428571428571,0.8758945692189026,0.4431847431188594,1.08,0.9000000000000001,0.0,0.8036799727414378,stable_rank_precision
B,Core0 (Socket 0).6_L2MISS,MEMORY,0.8660497611882554,0.7142857142857143,0.8660497611882554,0.4721235411214551,1.08,0.9000000000000001,0.0,0.7674823563096392,stable_rank_precision
B,Core0 (Socket 0).7_L3HIT,MEMORY,0.38756540943176876,0.14285714285714285,0.38756540943176876,0.40363988221007707,1.08,0.9000000000000001,0.0,0.3375907300441868,stable_rank_precision
